Pop5_Original,Pop10_Original,Pop20_Original,Pop30_Original,Pop40_Original,
1665584,1499333,1530151,1634053,1594755,
1665584,1497296,1530151,1634053,1594755,
1660854,1497296,1529762,1634053,1594755,
1660854,1497296,1529762,1634053,1594755,
1660854,1494460,1529762,1634053,1594755,
1654546,1494460,1512391,1626275,1594755,
1654546,1494460,1512391,1626275,1594755,
1654546,1494460,1512391,1626275,1594755,
1654546,1483602,1512391,1626275,1594755,
1654546,1483602,1512391,1626275,1594755,
1654546,1477827,1512351,1626275,1594755,
1654546,1477827,1512351,1622513,1594755,
1640393,1477827,1512351,1617924,1590065,
1632497,1471922,1512351,1617924,1590065,
1632497,1471922,1512351,1617924,1590065,
1632497,1471922,1511809,1617924,1590065,
1624301,1468356,1511809,1613338,1590065,
1624301,1468356,1511809,1613338,1590065,
1624301,1457218,1511809,1613338,1590065,
1624301,1443382,1511809,1613338,1590065,
1624301,1443382,1511809,1613199,1590065,
1624301,1443382,1511809,1613199,1590065,
1624301,1441154,1511809,1613199,1590065,
1624301,1441154,1511285,1613199,1590065,
1624301,1441154,1511285,1613199,1590065,
1624301,1439632,1511285,1613199,1590065,
1622311,1438751,1511285,1613199,1590065,
1622311,1436826,1481673,1613199,1590065,
1622311,1436826,1481673,1613199,1590065,
1622311,1436826,1481673,1613199,1590065,
1622311,1436826,1481673,1606188,1590065,
1622311,1436826,1479073,1587331,1590065,
1620562,1436826,1463583,1587331,1590065,
1620562,1435556,1463583,1587331,1590065,
1619033,1435556,1463583,1587331,1590065,
1619033,1435556,1463583,1586970,1590065,
1619033,1435556,1461828,1586970,1588186,
1619033,1435556,1461828,1586970,1588186,
1619033,1433881,1461828,1586970,1588186,
1619033,1431067,1461828,1586970,1588186,
1619033,1425386,1461828,1586970,1588186,
1615983,1425386,1461828,1586970,1588186,
1615983,1422950,1451011,1586970,1588186,
1615983,1422950,1451011,1578252,1588186,
1615983,1422950,1451011,1578252,1588186,
1615983,1422950,1451011,1578252,1588186,
1615983,1411684,1451011,1578007,1588085,
1615121,1411684,1451011,1578007,1588085,
1615121,1411684,1451011,1578007,1588085,
1612410,1403271,1450867,1578007,1588085,
1612410,1403271,1450867,1578007,1588085,
1612410,1403271,1450867,1578007,1588085,
1612410,1403271,1450867,1578007,1588085,
1612410,1403271,1450867,1578007,1588085,
1612410,1403271,1450297,1578007,1588085,
1612410,1403271,1449737,1578007,1588085,
1612410,1403271,1449737,1578007,1588085,
1612410,1403271,1449469,1578007,1588085,
1609368,1403271,1449469,1578007,1588085,
1609368,1403271,1449469,1578007,1588085,
1609368,1403271,1448171,1578007,1588085,
1605197,1403271,1448171,1578007,1587763,
1605197,1403271,1448130,1573677,1587763,
1605197,1403271,1448130,1573677,1587763,
1595135,1403271,1448130,1562196,1587763,
1595135,1403271,1448130,1562196,1587763,
1595135,1403271,1448130,1560406,1587763,
1595135,1403271,1448130,1560406,1587763,
1595135,1403271,1448130,1556078,1587763,
1595135,1403271,1448130,1556078,1587763,
1595135,1403271,1448130,1556078,1587763,
1595135,1403271,1448130,1556078,1587763,
1595135,1400027,1447165,1556078,1587763,
1595135,1400027,1447165,1556078,1587662,
1587256,1400027,1447165,1556078,1574724,
1587256,1400027,1447165,1556078,1574724,
1587256,1398887,1433232,1556078,1574724,
1587256,1398887,1433232,1556078,1574724,
1585130,1398887,1433232,1556078,1574724,
1574159,1398887,1433232,1556078,1574724,
1574159,1398887,1433232,1550049,1574724,
1574159,1398887,1433232,1550049,1574724,
1574159,1398734,1433232,1550049,1574724,
1574159,1398734,1433232,1545759,1574724,
1574159,1398734,1433232,1545759,1574724,
1563563,1398734,1433232,1545759,1574724,
1563563,1398734,1433232,1545759,1574724,
1563563,1398734,1433232,1545759,1574724,
1560059,1398734,1433232,1527076,1574724,
1545861,1398734,1433232,1527076,1574724,
1545861,1398734,1433232,1527076,1574724,
1545861,1398734,1433232,1527076,1574724,
1545861,1398734,1433232,1527076,1574724,
1545861,1398544,1433232,1527076,1574724,
1538401,1398042,1433232,1527076,1574724,
